,eid,gid,name
238,167,1,"Provinciaal Kampioenschap Gelderland, Jeugd"
239,168,0,3. Berliner Stadtmeisterschaft
240,168,1,3. Berliner Stadtmeisterschaft
241,169,0,
242,169,1,
243,170,0,Provinciaal Kampioenschap Utrecht
244,170,1,"Provinciaal Kampioenschap Utrecht, Jeugd"
245,171,0,
246,172,0,"Provinciaal Kampioenschap Noord-Brabant, Jeugd"
247,172,1,Provinciaal Kampioenschap Noord-Brabant
248,173,0,
249,174,0,
250,174,1,
251,175,0,Provinciaal Kampioenschap Limburg
252,175,1,Provinciaal Kampioenschap Limburg
253,176,0,
254,177,0,
255,178,0,
256,179,0,"Deutsche Meisterschaften, Senioren"
257,179,1,"Deutsche Meisterschaften, Junioren"
258,180,0,
259,180,1,
260,181,0,
261,182,0,
262,183,0,
263,183,1,
264,184,0,"Nederlandse Kampioenschappen, Jeugd"
265,184,1,Nederlandse Kampioenschappen
266,185,0,World Championships
267,185,1,
268,186,0,
269,186,1,
270,187,0,
271,188,0,
272,188,1,
273,189,0,"Чемпіонат України з гри Стратего, Ukrainian Championships for the game Stratego"
274,190,0,"Provinciaal Kampioenschap Noord-Brabant, Eredivisie"
275,190,1,Provinciaal Kampioenschap Noord-Brabant
276,190,2,"Provinciaal Kampioenschap Noord-Brabant, Jeugd"
277,191,0,6. Bergische Meisterschaften
278,192,0,Provinciaal Kampioenschap Gelderland
279,192,1,"Provinciaal Kampioenschap Gelderland, Jeugd"
280,193,0,
281,194,0,
282,195,0,
283,196,0,
284,197,0,
285,197,1,
286,197,2,
287,198,0,
288,198,1,
289,199,0,"Provinciaal Kampioenschap Utrecht, Eredivisie"
290,199,1,Provinciaal Kampioenschap Utrecht
291,199,2,"Provinciaal Kampioenschap Utrecht, Jeugd"
292,200,0,4. Berliner Stadtmeisterschaft
293,201,0,
294,202,0,Antwerp Open
295,203,0,World Championships
296,203,1,"World Championships, Juniors"
297,204,0,
298,205,0,
299,205,1,
300,206,0,Nederlandse Kampioenschappen
301,206,1,
302,207,0,Belgian Championship
303,208,0,Deutsche Meisterschaften
304,209,0,Fahnenkiller Winterturnier 2004
305,210,0,
306,210,1,
307,211,0,
308,212,0,
309,213,0,
310,213,1,
311,214,0,"Чемпіонат України з гри Стратего, Ukrainian Championships for the game Stratego"
312,214,1,
313,215,0,Southern Norway Stratego Championship
314,216,0,"Provinciaal Kampioenschap Noord-Brabant, Jeugd"
315,216,1,Provinciaal Kampioenschap Noord-Brabant
316,216,2,"Provinciaal Kampioenschap Noord-Brabant, Eredivisie"
317,217,0,"7. Bergische Meisterschaften, Junioren"
318,217,1,"7. Bergische Meisterschaften, Senioren"
319,218,0,Ⅰ. Kostopil Championship
320,218,1,
321,219,0,5. Berliner Stadtmeisterschaft
322,219,1,5. Berliner Stadtmeisterschaft
323,220,0,Provinciaal Kampioenschap Utrecht
324,221,0,
325,222,0,Provinciaal Kampioenschap Zuid-Holland
326,223,0,
327,223,1,
328,224,0,
329,225,0,Stratego auf dem Bauernhof
330,226,0,Inofficial World Championship at the MSO
331,227,0,Provinciaal Kampioenschap Gelderland
332,228,0,
333,229,0,10th Napoleon Open
334,230,0,
335,231,0,
336,232,0,
337,233,0,Nederlandse Kampioenschappen
338,233,1,"Nederlandse Kampioenschappen, Jeugd"
339,234,0,"Deutsche Meisterschaften, Senioren"
340,234,1,"Deutsche Meisterschaften, Junioren"
341,235,0,Belgian Championship
342,236,0,Fahnenkiller Winterturnier 2005
343,237,0,
344,238,0,Kostopil Rating Competitions
345,239,0,
346,239,1,
347,239,2,
348,240,0,"Чемпіонат України з гри Стратего, Ukrainian Championships for the game Stratego"
349,240,1,"Чемпіонат України з гри Стратего, Ukrainian Championships (Side Tournament)"
350,241,0,Southern Norway Stratego Championship
351,242,0,"Provinciaal Kampioenschap Noord-Brabant, Eredivisie"
352,242,1,Provinciaal Kampioenschap Noord-Brabant
353,243,0,"8. Bergische Meisterschaften, Senioren"
354,243,1,"8. Bergische Meisterschaften, Junioren"
355,243,2,"8. Bergische Meisterschaften, Junioren Stechen"
356,244,0,
357,245,0,
358,246,0,
359,247,0,
360,248,0,
361,249,0,Provinciaal Kampioenschap Utrecht
362,250,0,6. Berliner Stadtmeisterschaft
363,251,0,1. Frankfurt Open
364,252,0,Provinciaal Kampioenschap Zuid-Holland
365,253,0,Fahnenkiller Sommerturnier
366,254,0,
367,255,0,Stratego auf dem Bauernhof
368,256,0,World Championships
369,256,1,World Championships
370,257,0,"World Championships, Antwerp Open"
371,258,0,Mind Sport Olympiad
372,259,0,Provinciaal Kampioenschap Gelderland
373,260,0,Schnuffel Open
374,261,0,Provinciaal Kampioenschap Limburg
375,262,0,Nederlandse Kampioenschappen
376,263,0,Deutsche Meisterschaften
377,264,0,
378,265,0,Fahnenkiller Winterturnier 2006
379,266,0,
380,267,0,Southern Norway Stratego Championship
381,268,0,Provinciaal Kampioenschap Noord-Brabant
382,268,1,Provinciaal Kampioenschap Noord-Brabant
383,268,2,Provinciaal Kampioenschap Noord-Brabant
384,269,0,"Ⅲ. Kostopil Championship, players under 12 years"
385,269,1,Ⅲ. Kostopil Championship
386,270,0,9. Bergische Meisterschaften
387,271,0,Provinciaal Kampioenschap Limburg
388,272,0,"Чемпіонат України з гри Стратего, Ukrainian Championships for the game Stratego"
